label,text
ham,"Ir hasta punto Jurong, loco.. Disponible sólo en bugis n gran mundo la e buffet ... Cine allí tiene amore wat ..."
ham,Ok lar... bromeando con tu oni...
spam,Entrada gratuita en 2 a wkly comp para ganar FA Cup final tkts 21 de mayo de 2005. Texto FA a 87121 para recibir la pregunta de entrada (std txt rate)T&C's aplicar 08452810075over18
ham,No se diga tan temprano... ya se dice...
ham,"No, no creo que vaya a Usf, pero vive por aquí."
spam,"FreeMsg Hey no querida ha sido 3 semanas ahora y no hay palabra de vuelta! Me gustaría un poco de diversión para que todavía? Tb ok! XxX std chgs para enviar, 1.50 a rcv"
ham,"Incluso mi hermano no es como hablar conmigo, me tratan como una patente de ayudas."
ham,Según su petición 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' se ha establecido como su callertune para todos los que llaman. Pulse *9 para copiar a sus amigos Callertune
spam,WINNER!! Como un cliente de red valorado que han sido seleccionados para recibir una recompensa premio 900! Para reclamar llamar al 09061701461. Código de reclamación KL341. Válido sólo 12 horas.
spam,¿Tuvo su móvil 11 meses o más? U R derecho a actualizar a los últimos móviles a color con cámara gratis! Llame a la actualización móvil Co FREE en 08002986030
ham,"Voy a estar en casa pronto y no quiero hablar más de estas cosas esta noche, ya he llorado bastante hoy."
spam,"¡Seis oportunidades de ganar CASH! De 100 a 20.000 libras txt> CSH11 y enviar a 87575. Costo 150p/día, 6días, 16+ TsandCs aplicar Responder HL 4 info"
spam,"URGENTE! Usted ha ganado una membresía GRATUITA de 1 semana en nuestro Premio Jackpot 100,000! Txt la palabra: RECLAMACIÓN al No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18"
ham,He estado buscando las palabras correctas para agradecerte por este aliento. Prometo que no daré tu ayuda por sentada y cumpliré mi promesa. Has sido maravillosa y una bendición en todo momento.
ham,¡¡Tengo una cita el domingo con voluntad!!
spam,"XXXMobileMovieClub: Para usar su crédito, haga clic en el enlace WAP en el siguiente mensaje txt o haga clic aquí>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJGCBL"
ham,Oh k...estoy viendo aquí:)
ham,"Eh, recuerda cómo 2 deletrean su nombre... sí, lo hice."
ham,Bien si eso es la manera en que te sientes.
spam,"England v Macedonia - no te pierdas los goles/noticias del equipo. Txt u equipo nacional a 87077 eg ENGLAND a 87077 Pruebe:WALES, SCOTLAND 4txt/Ì1⁄41.20 POBOXox36504W45WQ 16+"
ham,¿Es así en serio cómo deletreas su nombre?
ham,Voy a intentar por 2 meses ha ha sólo bromear
ham,Así que Í_ pagar primero lar... entonces cuando viene la acción...
ham,¿Ya terminaste tu almuerzo?
ham,¿De ninguna manera podré reunirme contigo antes?
ham,"Sólo me forcé a comer una rebanada, realmente no tengo hambre, esto apesta, Mark se está preocupando, sabe que estoy enfermo cuando rechazo la pizza."
ham,Lol tu siempre tan convincente.
ham,¿Cogiste el autobús? ¿Estás freyendo un huevo? ¿Has hecho un té? ¿Estás comiendo la izquierda de tu mamá durante la cena? ¿Sientes mi amor?
ham,"Estoy de vuelta &"";"" estamos empacando el coche ahora, te haré saber si hay espacio"
ham,Ahhh. trabajo. recuerdo vagamente eso! ¿Qué se siente? Lol
