text,label
Compra ahora y recibe un descuento especial,ham
Haz clic aqui para ganar un premio,spam
Tu ordenador tiene un virus,spam
Descubre como perder peso rapidamente,spam
Necesitas ayuda con tu tarea,ham
Gana dinero desde casa sin esfuerzo,spam
Reclama tu herencia de un pariente lejano,spam
Mejora tu rendimiento sexual con este producto,spam
Por favor responde a esta encuesta,ham
Invierte en esta oportunidad unica y hazte rico,spam
Comparte este mensaje con tus amigos,ham
Obten un prestamo facilmente sin verificacion de credito,spam
Felicidades has ganado un telefono nuevo,spam
Necesitamos verificar tu cuenta bancaria,spam
Aprende ingles en solo 10 dias,spam
Gracias por tu compra,ham
Trabaja desde casa y gana mucho dinero,spam
Este es un mensaje importante de tu banco,spam
Aumenta tu tamano con estas pastillas milagrosas,spam
Hola soy tu vecino y necesito un favor,ham
Has sido seleccionado para una oferta exclusiva,spam
Descarga este software gratis ahora,spam
Conoce solteras calientes en tu area,spam
Por favor confirma tu suscripcion,ham
Obten un descuento del 50% en tu proximo viaje,spam
Tu paquete esta listo para ser recogido,spam
Unete a nuestro club de descuentos,ham
Haz clic para ver fotos de personas desnudas,spam
Necesitamos actualizar tu informacion personal,spam
Compra medicamentos sin receta medica,spam
Hola soy tu amigo de la infancia,ham
Gana una gift card de 100 dolares,spam
Este producto te hara sentir mas joven,spam
Por favor dona a esta causa importante,ham
Has ganado un viaje todo incluido,spam
Descarga este tono de llamada gratis,spam
Haz clic para ver el video mas divertido,spam
Necesitas este seguro de vida ahora mismo,spam
Por favor ayudame a encontrar a mi mascota perdida,ham
Obten acceso a peliculas gratis en linea,spam
Haz esta prueba de coeficiente intelectual y sorprendete,spam
Gracias por tu interes en nuestros servicios,ham
Multiplica tus ingresos con este programa de afiliacion,spam
Te extrano y quiero verte,ham
Obten tu reporte de credito gratis,spam
Este producto milagroso te quitara las arrugas,spam
Por favor completa esta oferta para continuar,spam
Haz clic para descargar musica gratis,spam
Aprende a invertir en criptomonedas ahora,spam
Estoy en problemas por favor enviame dinero,ham
Actualiza tu informacion de contacto,ham
Gana dinero extra desde casa,spam
Tu cuenta ha sido bloqueada temporalmente,spam
Necesito tu ayuda urgentemente,ham
Recibe un bono de bienvenida al registrarte,spam
Este es un recordatorio de tu cita medica,ham
Pierde peso sin esfuerzo con este suplemento,spam
Haz clic para reclamar tu premio,spam
Gracias por ser un cliente valioso,ham
Invierte en bitcoin y hazte millonario,spam
Tu pedido ha sido enviado,ham
Obten un prestamo en linea instantaneamente,spam
Hola soy un principe nigeriano y necesito tu ayuda,spam
Felicidades has sido seleccionado para una encuesta remunerada,spam
Lamento informarte que tu solicitud ha sido rechazada,ham
Aumenta tu energia y libido con estas pastillas naturales,spam
Tu suscripcion expirara pronto,ham
Gana un iPhone gratis participando en este sorteo,spam
Necesitamos verificar tu informacion de pago,spam
Gracias por ponerte en contacto con nuestro equipo de soporte,ham
Haz clic para ver las fotos privadas de esta persona,spam
Tu cuenta tiene un saldo pendiente,spam
Este es un aviso importante de tu proveedor de servicios,ham
Obten acceso ilimitado a contenido exclusivo,spam
Te esperamos en nuestra proxima reunion,ham
Haz una fortuna con este metodo secreto,spam
Has ganado una gift card de Amazon,spam
Confirma tu asistencia al evento,ham
Descubre los secretos para un cabello hermoso y brillante,spam
Necesitamos que verifiques tu identidad,spam
Recomienda nuestro producto y gana comisiones,spam
Este es un mensaje de tu banco,ham
Obten descuentos exclusivos en nuestro sitio web,spam
Ha habido un intento de inicio de sesion sospechoso en tu cuenta,spam
Te invitamos a participar en nuestra encuesta de satisfaccion,ham
Este producto revolucionario te quitara las manchas de la piel,spam
Haz clic aqui para descargar el archivo adjunto,spam
Feliz cumpleaños de parte de todo nuestro equipo,ham
Unete a nuestro programa de afiliados y gana dinero extra,spam
Este es un recordatorio de tu pago pendiente,ham
Descubre como conquistar a la persona de tus sueños,spam
Hola quiero presentarte una increible oportunidad de negocio,spam
Gracias por tu donacion a nuestra causa,ham
Obten acceso anticipado a nuestras rebajas,spam
Tu reserva ha sido confirmada,ham
Gana musculos rapidamente con este suplemento,spam
Por favor actualiza tus preferencias de comunicacion,ham
Aprovecha esta oferta por tiempo limitado,spam
Este es un mensaje automatico de nuestro sistema,ham
Has ganado un vale de compra en nuestra tienda,spam
Tu cita ha sido reprogramada,ham
Haz clic aqui para recibir tu recompensa,spam
Este es un aviso de tu factura vencida,spam
Necesito que me hagas un favor,ham
Participa en nuestro concurso y gana premios increibles,spam
Tu pedido ha sido cancelado,ham
Obten un seguro de vida a un precio inigualable,spam
Hola soy un viejo amigo y quiero reconnectar contigo,spam
Gracias por tu paciencia mientras resolvemos tu problema,ham
Invierte en esta criptomoneda emergente y multiplica tu dinero,spam
Tu cuenta ha sido actualizada exitosamente,ham
Obten una muestra gratis de nuestro producto,spam
Este software optimizara el rendimiento de tu ordenador,spam
Felicidades has calificado para recibir un descuento especial,spam
Lamentamos informarte que el producto esta agotado,ham
Aumenta tu busto naturalmente con esta crema,spam
Tu membresia expirara en unos dias,ham
Gana un viaje todo pagado participando en nuestro sorteo,spam
Necesitamos que confirmes tu direccion de envio,spam
Gracias por escribirnos te responderemos a la brevedad,ham
Haz clic para ver este increible video,spam
Tu cuenta tiene un cargo no reconocido,spam
Este es un recordatorio de tu proxima cita,ham
Obten acceso a contenido exclusivo suscribiendote ahora,spam
Te esperamos en la reunion de manana,ham
Haz dinero facil desde la comodidad de tu hogar,spam
Has ganado una tableta nueva,spam
Confirma tu asistencia a la boda,ham
Descubre el secreto para unas pestanas largas y gruesas,spam
Necesitamos que verifiques tu cuenta,spam
Unete a nuestro programa de referidos y gana comisiones,spam
Este es un aviso de tu banco,ham
Obten envio gratis en tu primera compra,spam
Hemos detectado actividad sospechosa en tu cuenta,spam
Te invitamos a probar nuestro nuevo producto,ham
Este suplemento te hara perder peso mientras duermes,spam
Haz clic aqui para descargar tu factura,spam
Feliz aniversario que tengas un dia maravilloso,ham
Conviertete en un afiliado y gana dinero promocionando nuestros productos,spam
Este es un recordatorio de tu cita de manana,ham
Descubre como seducir a cualquier persona,spam
Hola tengo una propuesta de negocio que podria interesarte,spam
Gracias por tu apoyo a nuestra organizacion,ham
Obten acceso temprano a nuestras ofertas especiales,spam
Tu reservacion ha sido exitosa,ham
Desarrolla el cuerpo de tus suenos con este entrenamiento,spam
Por favor completa tu perfil para una mejor experiencia,ham
Ultimo dia para aprovechar este descuento,spam
Este mensaje es para informarte sobre cambios en nuestras politicas,ham
Has sido seleccionado para recibir un obsequio especial,spam
