label,text,lang,source
ham,Then u drive lor.,en,kaggle
ham,Come by our room at some point so we can iron out the plan for this weekend,en,kaggle
ham,HMM yeah if your not too grooved out! And im looking forward to my pound special :),en,kaggle
ham,Just normal only here :),en,kaggle
ham,"It wont b until 2.15 as trying 2 sort house out, is that ok?",en,kaggle
spam,Zara: Cliente seleccionado para recibir ropa gratis. Elija sus prendas: https://zara-gratis.net/seleccionar,es,synthetic_claude
spam,"Orange brings you ringtones from all time Chart Heroes, with a free hit each week! Go to Ringtones & Pics on wap. To stop receiving these tips reply STOP.",en,kaggle
ham,I've got it down to a tea. not sure which flavour,en,kaggle
ham,Gokila is talking with you aha:),en,kaggle
spam,"SMS. ac JSco: Energy is high, but u may not know where 2channel it. 2day ur leadership skills r strong. Psychic? Reply ANS w/question. End? Reply END JSCO",en,kaggle
spam,Carrefour: ¡Feliz Navidad! Ha ganado una cesta de 300€. Reclame llamando al 900 555 666.,es,synthetic_claude
ham,HI ITS KATE CAN U GIVE ME A RING ASAP XXX,en,kaggle
ham,"Send ur birthdate with month and year, I will tel u ur LIFE PARTNER'S name. and the method of calculation. Reply must.",en,kaggle
ham,"\The world suffers a lot... Not because of the violence of bad people. But because of the silence of good people!\"""""","" Gud night....""""",en,kaggle
spam,Missed call alert. These numbers called but left no message. 07008009200,en,kaggle
ham,"Did he say how fantastic I am by any chance, or anything need a bigger life lift as losing the will 2 live, do you think I would be the first person 2 die from N V Q? ",en,kaggle
ham,Dear how is chechi. Did you talk to her,en,kaggle
ham,Ummmmmaah Many many happy returns of d day my dear sweet heart.. HAPPY BIRTHDAY dear,en,kaggle
ham,Were somewhere on Fredericksburg,en,kaggle
ham,Webpage s not available!,en,kaggle
ham,Colegio San Juan: Recordatorio de reunión de padres el jueves 20 a las 18:30 en el aula 3B.,es,synthetic_claude
ham,Mmmm.... I cant wait to lick it!,en,kaggle
ham,"I can't, I don't have her number!",en,kaggle
ham,We got a divorce. Lol. She.s here,en,kaggle
ham,My darling sister. How are you doing. When's school resuming. Is there a minimum wait period before you reapply? Do take care,en,kaggle
ham,What i mean is do they come chase you out when its over or is it stated you can watch as many movies as you want.,en,kaggle
ham,El Corte Inglés: Su tarjeta de crédito tiene disponible saldo de 1.200€. Úselo sin intereses.,es,synthetic_claude
ham,Wait.i will come out.. &lt;#&gt;  min:),en,kaggle
spam,No. 1 Nokia Tone 4 ur mob every week! Just txt NOK to 87021. 1st Tone FREE ! so get txtin now and tell ur friends. 150p/tone. 16 reply HL 4info,en,kaggle
ham,No da. I am happy that we sit together na,en,kaggle
spam,Carrefour: Encuesta de calidad con premio garantizado de 300€. Participe: https://carrefour-encuesta.net,es,synthetic_claude
spam,Vodafone: Cuenta bloqueada por actividad inusual. Desbloquéela: https://vodafone-desbloquear.top,es,synthetic_claude
ham,Yo theres no class tmrw right?,en,kaggle
ham,Get down in gandhipuram and walk to cross cut road. Right side &lt;#&gt; street road and turn at first right.,en,kaggle
spam,Amazon Logistics: Entrega no realizada. Su vecino no pudo recibirlo: https://amz-logistica.top/rerouting,es,synthetic_claude
ham,Me sef dey laugh you. Meanwhile how's my darling anjie!,en,kaggle
ham,Ugh hopefully the asus ppl dont randomly do a reformat.,en,kaggle
ham,Remind me how to get there and I shall do so,en,kaggle
ham,Finish already... Yar they keep saying i mushy... I so embarrassed ok...,en,kaggle
ham,"I got like $ &lt"";#&gt;"" , I can get some more later though. Get whatever you feel like",en,kaggle
ham,All boys made fun of me today. Ok i have no problem. I just sent one message just for fun,en,kaggle
ham,"Honey ? Sweetheart ? Darling ? Sexy buns ? Sugar plum ? Loverboy ? I miss you, boytoy ... *smacks your ass* Did you go to the gym too ?",en,kaggle
ham,No I'm in the same boat. Still here at my moms. Check me out on yo. I'm half naked.,en,kaggle
ham,Mm yes dear look how i am hugging you both. :-P,en,kaggle
ham,"Sorry I missed you babe. I was up late and slept in. I hope you enjoy your driving lesson, boytoy. I miss you too ... *teasing kiss*",en,kaggle
ham,I'm at home. Please call,en,kaggle
ham,ÌÏ log off 4 wat. It's sdryb8i,en,kaggle
spam,Oportunidad de trabajo desde el móvil. 3-4 horas al día. Hasta 800€ semanales garantizados.,es,synthetic_claude
ham,Ok set let u noe e details later...,en,kaggle
spam,AVISO: Se ha realizado una transferencia de 2.000€ desde su cuenta ING. Responda STOP para cancelar.,es,synthetic_claude
ham,Sitting in mu waiting for everyone to get out of my suite so I can take a shower,en,kaggle
ham,I wait 4 Ì_ inside da car park...,en,kaggle
ham,Did u download the fring app?,en,kaggle
spam,You have won a Nokia 7250i. This is what you get when you win our FREE auction. To take part send Nokia to 86021 now. HG/Suite342/2Lands Row/W1JHL 16+,en,kaggle
ham,Guess who spent all last night phasing in and out of the fourth dimension,en,kaggle
spam,(Bank of Granite issues Strong-Buy) EXPLOSIVE PICK FOR OUR MEMBERS *****UP OVER 300% *********** Nasdaq Symbol CDGT That is a $5.00 per..,en,kaggle
ham,U sure u can't take any sick time?,en,kaggle
ham,But I'm on a diet. And I ate 1 too many slices of pizza yesterday. Ugh I'm ALWAYS on a diet.,en,kaggle
ham,Anything lor is she coming?,en,kaggle
ham,great princess! I love giving and receiving oral. Doggy style is my fave position. How about you? I enjoy making love  &lt;#&gt;  times per night :),en,kaggle
spam,Congrats! Nokia 3650 video camera phone is your Call 09066382422 Calls cost 150ppm Ave call 3mins vary from mobiles 16+ Close 300603 post BCM4284 Ldn WC1N3XX,en,kaggle
ham,"So check your errors and if you had difficulties, do correction.",en,kaggle
ham,Prakesh is there know.,en,kaggle
ham,Okey dokey swashbuckling stuff what oh.,en,kaggle
ham,Please give it 2  or i will pick it up on Tuesday evening about 8 if that is ok.,en,kaggle
ham,"Whenevr ur sad, Whenevr ur gray, Remembr im here 2 listn 2 watevr u wanna say, Jus walk wid me a little while,&amp"";"" I promise I'll bring back ur smile.:-)",en,kaggle
ham,"Sir, i am waiting for your call.",en,kaggle
ham,Esplanade lor. Where else...,en,kaggle
