label,text_en,text_es,source
ham,"Go until jurong point, crazy.. Available only in bugis n great world la e buffet... Cine there got amore wat...","Ir hasta punto Jurong, loco.. Disponible sólo en bugis n gran mundo la e buffet ... Cine allí tiene amore wat ...",kaggle
ham,Ok lar... Joking wif u oni...,Ok lar... bromeando con tu oni...,kaggle
spam,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's Action required: https://nicesome.cn/wp-admin/js/d,Entrada gratuita en 2 a wkly comp para ganar FA Cup final tkts 21 de mayo de 2005. Texto FA a 87121 para recibir la pregunta de entrada (std txt rate)T&C's aplicar 08452810075over18 Acción requerida: https://nicesome.cn/wp-admin/js/d,kaggle
ham,U dun say so early hor... U c already then say... Go to nature.com,No se diga tan temprano... ya se dice... Ve a nature.com,kaggle
ham,"Nah I don't think he goes to usf, he lives around here though","No, no creo que vaya a Usf, pero vive por aquí.",kaggle
spam,"FreeMsg Hey there darling it's been 3 week's now and no word back! I'd like some fun you up for it still? Tb ok! XxX std chgs to send, å£1.50 to rcv Visit http://n-9875.myveroangel.com/glcjn0imhdy/","FreeMsg Hey no querida ha sido 3 semanas ahora y no hay palabra de vuelta! Me gustaría un poco de diversión para que todavía? Tb ok! XxX std chgs para enviar, 1.50 a rcv Visita http://n-9875.myveroangel.com/glcjn0imhdy/",kaggle
ham,Even my brother is not like to speak with me. They treat me like aids patent. Visit vk.com,"Incluso mi hermano no es como hablar conmigo, me tratan como una patente de ayudas. Visita vk.com",kaggle
ham,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,Según su petición 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' se ha establecido como su callertune para todos los que llaman. Pulse *9 para copiar a sus amigos Callertune,kaggle
spam,WINNER!! As a valued network customer you have been selected to receivea å£900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only. Visit http://uk.paying-jf.vip/index.html,WINNER!! Como un cliente de red valorado que han sido seleccionados para recibir una recompensa premio 900! Para reclamar llamar al 09061701461. Código de reclamación KL341. Válido sólo 12 horas. Visita http://uk.paying-jf.vip/index.html,kaggle
spam,Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030 Important notice: http://9gm96lqm3rik2vt.myveroangel.com/mh8on0xqouu/,¿Tuvo su móvil 11 meses o más? U R derecho a actualizar a los últimos móviles a color con cámara gratis! Llame a la actualización móvil Co FREE en 08002986030 Aviso importante: http://9gm96lqm3rik2vt.myveroangel.com/mh8on0xqouu/,kaggle
